"name","year","votes","percent","inducted"
"Carlos Beltrán",2026,358,84.2,"Yes"
"Andruw Jones",2026,333,78.4,"Yes"
"Chase Utley",2026,251,59.1,"No"
"Andy Pettitte",2026,206,48.5,"No"
"Félix Hernández",2026,196,46.1,"No"
"Alex Rodriguez",2026,170,40,"No"
"Manny Ramirez",2026,165,38.8,"No"
"Bobby Abreu",2026,131,30.8,"No"
"Jimmy Rollins",2026,108,25.4,"No"
"Cole Hamels",2026,101,23.8,"No"
"Dustin Pedroia",2026,88,20.7,"No"
"Mark Buehrle",2026,85,20,"No"
"Omar Vizquel",2026,78,18.4,"No"
"David Wright",2026,63,14.8,"No"
"Francisco Rodríguez",2026,50,11.8,"No"
"Torii Hunter",2026,37,8.7,"No"
"Ryan Braun",2026,15,3.5,"No"
"Edwin Encarnación",2026,6,1.4,"No"
"Shin-Soo Choo",2026,3,0.7,"No"
"Hunter Pence",2026,2,0.5,"No"
"Matt Kemp",2026,2,0.5,"No"
"Rick Porcello",2026,2,0.5,"No"
"Nick Markakis",2026,1,0.2,"No"
"Alex Gordon",2026,1,0.2,"No"
"Daniel Murphy",2026,0,0,"No"
"Howie Kendrick",2026,0,0,"No"
"Gio Gonzalez",2026,0,0,"No"
